Mã Rule,Tên Quy Tắc,Dự Án,Sản Phẩm,Loại Căn,Loại Quỹ,Từ Ngày,Đến Ngày,Giá Từ (Tỷ),Giá Đến (Tỷ),Điểm Cơ Bản,Thưởng Thêm,Độ Ưu Tiên,Trạng Thái
R001,VCG Căn MAS đặc biệt (Danh sách căn MAS VCG),VCG,*,*,*,,,0,9999,8,0,100,Kích hoạt
R002,Imperia / OCP1 trước 01/05/2025,"Imperia,OCP1",*,*,*,,2025-04-30,0,9999,1,0,90,Kích hoạt
R003,4 Dự án Quỹ NW sau 08/07/2026 (>= 10 tỷ),"VCG,VHSGP,VHHLX,VHHVB",*,*,Quỹ NW,2026-07-08,,10,9999,3,0,85,Kích hoạt
R004,4 Dự án Quỹ NW sau 08/07/2026 (< 10 tỷ),"VCG,VHSGP,VHHLX,VHHVB",*,*,Quỹ NW,2026-07-08,,0,10,2,0,84,Kích hoạt
R005,"LEK Chiến dịch 14/04-25/05/2026 (3PN, 4PN, 3BRL)",LEK,*,"3PN,3PN+,4PN,4PN+,3BRL",Quỹ NW,2026-04-14,2026-05-25,0,9999,5,0,82,Kích hoạt
R006,"LEK Chiến dịch 14/04-25/05/2026 (2PN, 2PN+)",LEK,*,"2PN,2PN+",Quỹ NW,2026-04-14,2026-05-25,0,9999,4,0,81,Kích hoạt
R007,VHHVB Quỹ NW (>= 10 tỷ tính theo Giãn Xây/Giá),VHHVB,*,*,Quỹ NW,,,10,9999,3,0,80,Kích hoạt
R008,VHHVB Quỹ NW (< 10 tỷ),VHHVB,*,*,Quỹ NW,,,0,10,2,0,79,Kích hoạt
R009,SCM / VCG Thấp Tầng (> 30 tỷ),"SCM,VCG",Thấp Tầng,*,Quỹ NW,,,30,9999,5,0,78,Kích hoạt
R010,SCM / VCG Thấp Tầng (20 - 30 tỷ),"SCM,VCG",Thấp Tầng,*,Quỹ NW,,,20,30,4,0,77,Kích hoạt
R011,SCM / VCG Thấp Tầng (< 20 tỷ),"SCM,VCG",Thấp Tầng,*,Quỹ NW,,,0,20,3,0,76,Kích hoạt
R012,VHLX Thấp Tầng Quỹ NW (>= 10 tỷ),VHLX,Thấp Tầng,*,Quỹ NW,,,10,9999,3,0,75,Kích hoạt
R013,VHLX Thấp Tầng Quỹ NW (< 10 tỷ),VHLX,Thấp Tầng,*,Quỹ NW,,,0,10,2,0,74,Kích hoạt
R014,LMT Penthouse Duplex,LMT,*,Penthouse Duplex,Quỹ NW,,,0,9999,8,0,70,Kích hoạt
R015,LMT Thấp Tầng,LMT,Thấp Tầng,*,Quỹ NW,,,0,9999,5,0,69,Kích hoạt
R016,"LMT Căn lớn (4PN, Penhouse, Duplex)",LMT,*,"4PN,Penhouse,Duplex",Quỹ NW,,,0,9999,4,0,68,Kích hoạt
R017,"MSQ Căn đặc biệt (Triplex, Shop đế, TMDV)",MSQ,*,"Triplex,Shop đế,TMDV",Quỹ NW,,,0,9999,8,0,67,Kích hoạt
R018,MSQ Duplex,MSQ,*,Duplex,Quỹ NW,,,0,9999,3,0,66,Kích hoạt
R019,"Các dự án Thấp tầng 8 điểm (MAS OCP2, MLB, TCT, MAS WDC, MAS OCP3)","MAS OCP2,MLB,TCT,MAS WDC,MAS OCP3",Thấp Tầng,*,Quỹ NW,,,0,9999,8,0,65,Kích hoạt
R020,VHGP - Bason / TGC Thấp tầng,"VHGP - Bason,TGC",Thấp Tầng,*,Quỹ NW,,,0,9999,5,0,64,Kích hoạt
R021,"TGC Căn lớn (4PN, Penhouse, Duplex)",TGC,*,"4PN,Penhouse,Duplex",Quỹ NW,,,0,9999,4,0,63,Kích hoạt
R022,"LEK / HSG Căn lớn (3PN, 4PN, 3BRL)","LEK,HSG",*,"3PN,3PN+,4PN,4PN+,3BRL",Quỹ NW,,,0,9999,5,0,62,Kích hoạt
R023,"LEK / HSG Căn 2PN (2PN, 2PN+)","LEK,HSG",*,"2PN,2PN+,2PNL",Quỹ NW,,,0,9999,4,0,61,Kích hoạt
R024,"MEL / IHH Căn lớn (2PN+, 3PN)","MEL,IHH",*,"2PN+,3PN",Quỹ NW,,,0,9999,3,0,60,Kích hoạt
R025,"LSB / VHOS Căn lớn (2PN+, 3PN)","LSB,VHOS",*,"2PN+,3PN",Quỹ NW,,,0,9999,3,0,59,Kích hoạt
R026,"VHGC Thấp tầng / Biệt thự (Song Lập, Đơn Lập)",VHGC,Thấp Tầng,*,Quỹ NW,,,0,9999,3,0,58,Kích hoạt
R027,TFE Thấp Tầng,TFE,Thấp Tầng,*,Quỹ NW,,,0,9999,3,0,57,Kích hoạt
R028,VHGC / VHGP / The Prive / SCM Cao Tầng,"VHGC,VHGP,The Prive,SCM",Cao Tầng,*,Quỹ NW,,,0,9999,2,0,56,Kích hoạt
R029,MWF / LMG Shop chân đế,"MWF,LMG",*,"Shop đế,TMDV",Quỹ NW,,,0,9999,1,0,55,Kích hoạt
R030,Dự án TRV Quỹ NW (10 điểm),TRV,*,*,Quỹ NW,,,0,9999,10,0,45,Kích hoạt
R031,Dự án SOLA Quỹ NW (8 điểm),SOLA,*,*,Quỹ NW,,,0,9999,8,0,44,Kích hoạt
R032,Dự án GMS Quỹ NW (5 điểm),GMS,*,*,Quỹ NW,,,0,9999,5,0,43,Kích hoạt
R033,Dự án MLB / TCT Quỹ NW (4 điểm),"MLB,TCT",*,*,Quỹ NW,,,0,9999,4,0,42,Kích hoạt
R034,"Dự án 3 điểm Quỹ NW (LBV, MCP, MGV, LMT, Berkley, HSG, LEK, MAS VGG, MAS WDC, MCC, MCCN, MEL, MGC, MIK WDC, MPP, TFE, TGC, VIN OCP2, VIN OCP3, VIN VGG, VIN WDC, VCG)","LBV,MCP,MGV,LMT,Berkley,HSG,LEK,MAS VGG,MAS WDC,MCC,MCCN,MEL,MGC,MIK WDC,MPP,TFE,TGC,VIN OCP2,VIN OCP3,VIN VGG,VIN WDC,VCG",*,*,Quỹ NW,,,0,9999,3,0,40,Kích hoạt
R035,"Dự án 2 điểm Quỹ NW (Ambience, CORA, DTS, Fours, IHH, ISP, LOP, LPH, LSB, MAS OCP2, MAS OCP3, MGA, MIK OCP 23, MLS, MPR, MRD, MSQ, MTS, Mipec, NTD, S-Light, SLC, SPN, STC LT, Sym5, TMOP, TPV, The Gió, The Prive, VGC, VHBS, VHGH, VHGP, VHHVB, VHLX, VHOR, VHSGP, VIN VRI)","Ambience,CORA,DTS,Fours,IHH,ISP,LOP,LPH,LSB,MAS OCP2,MAS OCP3,MGA,MIK OCP 23,MLS,MPR,MRD,MSQ,MTS,Mipec,NTD,S-Light,SLC,SPN,STC LT,Sym5,TMOP,TPV,The Gió,The Prive,VGC,VHBS,VHGH,VHGP,VHHVB,VHLX,VHOR,VHSGP,VIN VRI",*,*,Quỹ NW,,,0,9999,2,0,30,Kích hoạt
R036,"Dự án 1 điểm Quỹ NW (Imperia, LUMI, LMG, OCP1, SBC, SEN, VSC, MWF)","Imperia,LUMI,LMG,OCP1,SBC,SEN,VSC,MWF",*,*,Quỹ NW,,,0,9999,1,0,20,Kích hoạt
R037,Quỹ Chéo mặc định (1 điểm),*,*,*,Quỹ Chéo,,,0,9999,1,0,10,Kích hoạt
R038,Quỹ NW mặc định (2 điểm),*,*,*,Quỹ NW,,,0,9999,2,0,5,Kích hoạt
