STT  | Dòng  | Mã Dự Án         | Khoảng Giá (Raw)       | Khoảng Giá (Parse)     | Toán Tử / Điều Kiện        | Min (Tỷ)  | Max (Tỷ) 
-----------------------------------------------------------------------------------------------------------------------------
1    | 4     | MAS OCP2         | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
2    | 5     | MAS OCP3         | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
3    | 6     | MAS VGG          | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
4    | 7     | MAS WDC          | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
5    | 8     | MLB              | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
6    | 9     | MSQ              | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
7    | 10    | MSQ              | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
8    | 11    | MSQ              | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
9    | 12    | MSQ              | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
10   | 13    | VCG (Quỹ MAS)    | Dưới 20 tỷ             | Dưới 20 tỷ             | Giá < 20 tỷ                | -         | 20       
11   | 14    | VCG (Quỹ MAS)    | Từ 20-30 tỷ            | Từ 20-30 tỷ            | 20 tỷ <= Giá <= 30 tỷ      | 20        | 30       
12   | 15    | VCG (Quỹ MAS)    | Trên 30 tỷ             | Trên 30 tỷ             | Giá >= 30 tỷ               | 30        | -        
13   | 16    | MEL              | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
14   | 17    | MEL              | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
15   | 18    | LEK              | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
16   | 19    | LEK              | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
17   | 20    | LEK              | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
18   | 21    | MGC              | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
19   | 22    | MGC              | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
20   | 23    | MCC              | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
21   | 24    | MCC              | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
22   | 25    | MCC              | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
23   | 26    | MCCN             | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
24   | 27    | MCCN             | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
25   | 28    | MCCN             | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
26   | 29    | MPP              | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
27   | 30    | MPP              | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
28   | 31    | MPP              | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
29   | 32    | HSG              | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
30   | 33    | HSG              | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
31   | 34    | HSG              | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
32   | 35    | MRD              | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
33   | 36    | LMT              | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
34   | 37    | LMT              | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
35   | 38    | LMT              | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
36   | 39    | LMT              | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
37   | 40    | LMT              | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
38   | 41    | LMT              | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
39   | 42    | LMT              | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
40   | 43    | MGV              | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
41   | 44    | MGV              | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
42   | 45    | MGV              | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
43   | 46    | MGV              | Tất cả                 | Tất cả                 | Không giới hạn             | -         | -        
